sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.8825375940048064
6.9,3.1,5.1,2.3,virginica,0.932197579356829
5.1,2.5,3.0,1.1,versicolor,0.8918684866279774
4.4,2.9,,0.2,setosa,0.7457093399965272
5.9,3.0,5.1,1.8,virginica,0.662331183321263
5.5,3.5,1.3,0.2,setosa,0.9632968868415898
5.6,,3.6,1.3,versicolor,0.8116775695171922
6.5,3.0,5.2,2.0,virginica,0.8435669783908486
5.3,3.7,1.5,0.2,setosa,0.9851754480764457
5.1,3.4,1.5,,setosa,0.8870274580576727
6.1,2.8,4.0,1.3,versicolor,0.8975060580402843
5.5,2.4,3.7,1.0,versicolor,0.9480583304942474
7.7,3.0,6.1,2.3,virginica,0.9865431836486859
6.9,3.1,4.9,1.5,versicolor,0.645418037868986
6.0,2.2,5.0,1.5,virginica,0.5951540895329196
